DATA,EXCEPTION,time,pitch,roll,yaw,airspeed,displayedAltitude,pressureAltitude,turnRate,verticalSpeed,lateralAcceleration,verticalAcceleration,angleOfAttack,
03033317+018+00053000000+0096+000+01+1099FA49FE01BA,ok,11013265,1.8000001,0.5,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033318+018+00053000000+0096+000+01+1099FA49FE01BB,ok,11013281,1.8000001,0.5,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033319+018+00053000000+0051+003+01+1099FA4AD901B0,ok,11013296,1.8000001,0.5,300.0,0.0,NaN,51.0,NaN,0.3,0.01,1.0,0.98999995,
03033320+018+00053000000+0051+003+01+1099FA4AD901A8,ok,11013312,1.8000001,0.5,300.0,0.0,NaN,51.0,NaN,0.3,0.01,1.0,0.98999995,
03033321+018+00053000000+0051+002+01+1099FA4AD901A8,ok,11013328,1.8000001,0.5,300.0,0.0,NaN,51.0,NaN,0.2,0.01,1.0,0.98999995,
03033322+018+00063000000+0051+002+01+1099FA4AD901AA,ok,11013343,1.8000001,0.6,300.0,0.0,NaN,51.0,NaN,0.2,0.01,1.0,0.98999995,
03033323+018+00063000000+0051+002+01+1099FA4AD901AB,ok,11013359,1.8000001,0.6,300.0,0.0,NaN,51.0,NaN,0.2,0.01,1.0,0.98999995,
03033324+018+00063000000+0096+000+01+1099FA49FE01B9,ok,11013375,1.8000001,0.6,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033325+018+00063000000+0096+000+01+1099FA49FE01BA,ok,11013390,1.8000001,0.6,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033326+018+00063000000+0096+000+01+1099FA49FE01BB,ok,11013406,1.8000001,0.6,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033327+018+00063000000+0096+000+01+1099FA49FE01BC,ok,11013421,1.8000001,0.6,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033328+018+00063000000+0096+000+01+1099FA49FE01BD,ok,11013437,1.8000001,0.6,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033329+018+00063000000+0051+000+01+1099FA4AD901AF,ok,11013453,1.8000001,0.6,300.0,0.0,NaN,51.0,NaN,0.0,0.01,1.0,0.98999995,
03033330+018+00063000000+0051+000+01+1099FA4AD901A7,ok,11013468,1.8000001,0.6,300.0,0.0,NaN,51.0,NaN,0.0,0.01,1.0,0.98999995,
03033331+018+00063000000+0051+001+01+1099FA4AD901A9,ok,11013484,1.8000001,0.6,300.0,0.0,NaN,51.0,NaN,0.1,0.01,1.0,0.98999995,
03033332+018+00063000000+0051+001+01+1099FA4AD901AA,ok,11013500,1.8000001,0.6,300.0,0.0,NaN,51.0,NaN,0.1,0.01,1.0,0.98999995,
03033333+018+00063000000+0051+001+01+1099FA4AD901AB,ok,11013515,1.8000001,0.6,300.0,0.0,NaN,51.0,NaN,0.1,0.01,1.0,0.98999995,
03033334+018+00063000000+0096+000+01+1099FA49FE01BA,ok,11013531,1.8000001,0.6,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033335+018+00063000000+0096+000+01+1099FA49FE01BB,ok,11013546,1.8000001,0.6,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033336+018+00063000000+0096+000+01+1099FA49FE01BC,ok,11013562,1.8000001,0.6,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033337+018+00053000000+0096+000+01+1099FA49FE01BC,ok,11013578,1.8000001,0.5,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033338+018+00053000000+0096+000+01+1099FA49FE01BD,ok,11013593,1.8000001,0.5,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033339+018+00053000000+0051-001+01+1099FA4AD901B2,ok,11013609,1.8000001,0.5,300.0,0.0,NaN,51.0,NaN,-0.1,0.01,1.0,0.98999995,
03033340+018+00053000000+0051-001+01+1099FA4AD901AA,ok,11013625,1.8000001,0.5,300.0,0.0,NaN,51.0,NaN,-0.1,0.01,1.0,0.98999995,
03033341+018+00063000000+0051-004+01+1099FA4AD901AF,ok,11013640,1.8000001,0.6,300.0,0.0,NaN,51.0,NaN,-0.4,0.01,1.0,0.98999995,
03033342+018+00063000000+0051-004+01+1099FA4AD901B0,ok,11013656,1.8000001,0.6,300.0,0.0,NaN,51.0,NaN,-0.4,0.01,1.0,0.98999995,
03033343+018+00063000000+0051-004+01+1099FA4AD901B1,ok,11013671,1.8000001,0.6,300.0,0.0,NaN,51.0,NaN,-0.4,0.01,1.0,0.98999995,
03033344+018+00053000000+0096+000+01+1099FA49FE01BA,ok,11013687,1.8000001,0.5,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033345+018+00053000000+0096+000+01+1099FA49FE01BB,ok,11013703,1.8000001,0.5,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033346+018+00053000000+0096+000+01+1099FA49FE01BC,ok,11013718,1.8000001,0.5,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033347+018+00053000000+0096+000+01+1099FA49FE01BD,ok,11013734,1.8000001,0.5,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033348+018+00053000000+0096+000+01+1099FA49FE01BE,ok,11013750,1.8000001,0.5,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033349+018+00053000000+0051-004+01+1099FA4AD901B6,ok,11013765,1.8000001,0.5,300.0,0.0,NaN,51.0,NaN,-0.4,0.01,1.0,0.98999995,
03033350+018+00053000000+0051-004+01+1099FA4AD901AE,ok,11013781,1.8000001,0.5,300.0,0.0,NaN,51.0,NaN,-0.4,0.01,1.0,0.98999995,
03033351+018+00053000000+0051+000+01+1099FA4AD901A9,ok,11013796,1.8000001,0.5,300.0,0.0,NaN,51.0,NaN,0.0,0.01,1.0,0.98999995,
03033352+018+00053000000+0051+000+01+1099FA4AD901AA,ok,11013812,1.8000001,0.5,300.0,0.0,NaN,51.0,NaN,0.0,0.01,1.0,0.98999995,
03033353+018+00053000000+0051+000+01+1099FA4AD901AB,ok,11013828,1.8000001,0.5,300.0,0.0,NaN,51.0,NaN,0.0,0.01,1.0,0.98999995,
03033354+018+00053000000+0096+000+01+1099FA49FE01BB,ok,11013843,1.8000001,0.5,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033355+018+00053000000+0096+000+01+1099FA49FE01BC,ok,11013859,1.8000001,0.5,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033356+018+00053000000+0096+000+01+1099FA49FE01BD,ok,11013875,1.8000001,0.5,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033357+018+00053000000+0096+000+01+1099FA49FE01BE,ok,11013890,1.8000001,0.5,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033358+018+00053000000+0096+000+01+1099FA49FE01BF,ok,11013906,1.8000001,0.5,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
